Worker,Certification,Issuer,Expires,Status
"Chris Nguyen","Powered Industrial Truck (Forklift)","ITA / employer trainer","2026-08-01","Expired"
"Priya Shah","NFPA 70E Arc Flash","National Fire Protection Association","2026-08-12","Expired"
"Andre Cole","Powered Industrial Truck (Forklift)","In-house authorized trainer","2026-07-30","Expired"
"Tanya Brooks","OSHA 30-Hour General Industry","OSHA Outreach Training Program","2026-06-21","Expired"
"Owen Briggs","Confined Space Entry","Employer site program","2026-05-19","Expired"
"Marcus Webb","Confined Space Entry","Employer site program","2026-09-08","Expiring"
"Jordan Hale","OSHA 30-Hour Construction","OSHA Outreach Training Program","2026-09-18","Expiring"
"Samira Ali","OSHA 10-Hour Construction","OSHA Outreach Training Program","2026-09-25","Expiring"
"Elena Ruiz","OSHA 10-Hour Construction","OSHA Outreach Training Program","2026-10-02","Expiring"
"Dev Patel","NFPA 70E Arc Flash","National Fire Protection Association","2026-10-15","Expiring"
